,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,4.98
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,12.67
41,41,0.0
42,42,25.1
43,43,0.0
44,44,8.780000000000001
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,12.23
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,40.220000000000006
57,57,20.0
58,58,20.0
59,59,5.72
60,60,20.0
61,61,0.0
62,62,34.49
63,63,11.440000000000001
64,64,44.980000000000004
65,65,22.799999999999997
66,66,40.0
67,67,0.0
68,68,0.0
69,69,5.07
70,70,0.0
71,71,40.0
72,72,0.0
73,73,0.0
74,74,11.67
75,75,0.0
76,76,3.4699999999999998
77,77,3.98
78,78,31.41
79,79,0.0
80,80,0.0
81,81,40.0
82,82,0.0
83,83,0.0
84,84,48.480000000000004
85,85,0.0
86,86,60.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,2.39
91,91,0.0
92,92,42.49
93,93,0.0
94,94,40.0
95,95,0.0
96,96,0.0
97,97,0.0
98,98,0.0
99,99,23.78
100,100,0.0
101,101,0.0
102,102,14.26
103,103,0.0
104,104,2.39
105,105,0.0
106,106,1.97
107,107,0.0
108,108,4.98
109,109,0.0
110,110,0.0
111,111,0.0
112,112,0.0
113,113,0.0
114,114,0.0
115,115,0.0
116,116,5.28
117,117,0.0
118,118,1.98
119,119,3.5
120,120,6.17
121,121,5.88
122,122,0.0
123,123,0.0
124,124,0.0
125,125,0.88
126,126,15.62
127,127,0.0
128,128,0.0
129,129,2.79
130,130,12.88
131,131,0.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.0
137,137,2.49
138,138,3.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,17.730000000000004
143,143,0.0
144,144,0.0
145,145,0.0
146,146,2.49
147,147,0.0
148,148,14.850000000000001
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,4.529999999999999
154,154,0.0
155,155,0.0
156,156,60.0
157,157,0.0
158,158,5.0
159,159,23.43
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,6.0
165,165,20.94
166,166,0.0
167,167,0.0
168,168,0.0
169,169,0.0
170,170,77.39999999999999
171,171,17.41
172,172,0.0
173,173,0.0
174,174,0.0
175,175,0.0
176,176,0.0
177,177,0.0
178,178,0.0
179,179,0.0
180,180,6.67
181,181,0.0
182,182,5.99
183,183,64.25
184,184,0.0
185,185,0.0
186,186,0.0
187,187,0.0
188,188,0.0
189,189,0.0
190,190,0.0
191,191,0.0
192,192,0.0
193,193,0.0
194,194,0.0
195,195,0.0
196,196,5.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,1.67
202,202,0.0
203,203,0.0
204,204,0.0
205,205,0.0
206,206,12.910000000000004
207,207,0.0
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,19.72
213,213,0.0
214,214,0.0
215,215,13.96
216,216,25.99
217,217,10.0
218,218,80.6
219,219,0.0
220,220,16.7
221,221,0.0
222,222,16.200000000000003
223,223,18.45
224,224,6.99
225,225,0.0
226,226,0.0
227,227,6.98
228,228,0.0
229,229,0.0
230,230,38.50000000000001
231,231,0.0
232,232,0.0
233,233,164.5
234,234,0.0
235,235,0.0
236,236,2.8
237,237,0.0
238,238,4.98
239,239,0.0
240,240,0.0
241,241,6.18
242,242,34.64
243,243,0.0
244,244,145.16
245,245,9.610000000000001
246,246,0.0
247,247,18.85
248,248,0.0
249,249,0.0
250,250,12.440000000000003
251,251,22.07
252,252,0.0
253,253,0.0
254,254,0.0
255,255,104.93
256,256,0.0
257,257,22.23
258,258,0.0
259,259,0.0
260,260,0.0
261,261,0.0
262,262,0.0
263,263,0.0
264,264,0.0
265,265,0.0
266,266,0.0
267,267,0.0
268,268,128.3
269,269,0.0
270,270,0.0
271,271,0.0
272,272,0.0
273,273,19.1
274,274,0.0
275,275,30.23
276,276,82.91000000000004
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,14.370000000000003
283,283,20.0
284,284,0.0
285,285,0.0
286,286,0.0
287,287,37.2
288,288,0.0
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.0
294,294,44.03
295,295,0.0
296,296,0.0
297,297,33.11999999999999
298,298,0.0
299,299,0.0
300,300,31.209999999999997
301,301,0.0
302,302,0.0
303,303,4.8100000000000005
304,304,5.3999999999999995
305,305,0.0
306,306,112.47999999999998
307,307,18.840000000000003
308,308,3.99
309,309,0.0
310,310,24.28
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,0.0
316,316,16.87
317,317,3.19
318,318,129.96999999999997
319,319,0.0
320,320,0.0
321,321,31.339999999999996
322,322,12.760000000000002
323,323,6.0
324,324,22.310000000000002
325,325,0.0
326,326,66.72
327,327,0.0
328,328,0.0
329,329,19.01
330,330,0.0
331,331,0.0
332,332,5.769999999999999
333,333,0.0
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,14.1
342,342,0.0
343,343,5.52
344,344,0.0
345,345,3.26
346,346,0.0
347,347,0.0
348,348,147.62999999999997
349,349,0.0
350,350,0.0
351,351,18.3
352,352,0.0
353,353,0.0
354,354,0.0
355,355,42.12999999999999
356,356,0.0
357,357,0.0
358,358,20.8
359,359,0.0
360,360,4.09
361,361,20.25
362,362,51.84
363,363,0.0
364,364,0.0
365,365,0.0
366,366,0.0
367,367,41.29
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,0.0
375,375,0.0
376,376,0.0
377,377,0.0
378,378,45.69
379,379,0.0
380,380,0.0
381,381,0.0
382,382,0.0
383,383,13.87
384,384,22.42
385,385,0.0
386,386,0.0
387,387,0.0
388,388,135.13
389,389,0.0
390,390,0.0
391,391,0.0
392,392,4.5600000000000005
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,23.41
399,399,0.0
400,400,45.65
401,401,0.0
402,402,0.0
403,403,0.0
404,404,0.0
405,405,10.18
406,406,0.0
407,407,0.0
408,408,21.16
409,409,0.0
410,410,0.0
411,411,0.0
412,412,58.06
413,413,0.0
414,414,0.0
415,415,18.97
416,416,0.0
417,417,0.0
418,418,38.800000000000004
419,419,0.0
420,420,0.0
421,421,40.0
422,422,0.0
423,423,23.62
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,0.0
429,429,12.33
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,140.17000000000002
435,435,0.0
436,436,0.0
437,437,0.0
438,438,0.0
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,0.0
446,446,0.0
447,447,9.610000000000001
448,448,58.50000000000001
449,449,22.880000000000003
450,450,0.0
451,451,13.42
452,452,0.0
453,453,1.79
454,454,0.0
455,455,5.38
456,456,23.7
457,457,7.99
458,458,0.0
459,459,22.95
460,460,0.0
461,461,57.62000000000001
462,462,0.0
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,41.64
469,469,0.0
470,470,0.0
471,471,0.0
472,472,4.0
473,473,0.0
474,474,8.67
475,475,0.0
476,476,0.0
477,477,0.0
478,478,18.32
479,479,0.0
480,480,69.13
481,481,0.0
482,482,14.310000000000002
483,483,9.0
484,484,0.0
485,485,43.87
486,486,29.46
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,0.0
492,492,0.0
493,493,0.0
494,494,44.809999999999995
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0
499,499,43.13
500,500,0.0
501,501,32.5
502,502,0.0
503,503,0.0
504,504,0.0
505,505,35.4
506,506,0.0
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,5.38
514,514,23.25
515,515,0.0
516,516,0.0
517,517,37.53
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,0.0
523,523,0.0
524,524,37.39
525,525,5.69
526,526,0.0
527,527,0.0
528,528,0.0
529,529,0.0
530,530,0.0
531,531,30.77
532,532,73.53999999999999
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,6.35
539,539,0.0
540,540,15.0
541,541,0.0
542,542,0.0
543,543,0.0
544,544,65.77
545,545,0.0
546,546,0.0
547,547,0.0
548,548,43.59
549,549,0.0
550,550,0.0
551,551,0.0
552,552,14.75
553,553,0.0
554,554,24.580000000000002
555,555,0.0
556,556,0.0
557,557,0.0
558,558,0.0
559,559,10.25
560,560,0.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,0.0
565,565,0.0
566,566,0.0
567,567,0.0
568,568,0.0
569,569,68.62
570,570,0.0
571,571,34.92
572,572,0.0
573,573,0.0
574,574,63.349999999999994
575,575,0.0
576,576,0.0
577,577,4.99
578,578,18.4
579,579,5.79
580,580,0.0
581,581,0.0
582,582,0.0
583,583,0.0
584,584,16.53
585,585,21.4
586,586,72.17999999999999
587,587,0.0
588,588,0.0
589,589,63.15
590,590,13.11
591,591,11.57
592,592,60.989999999999995
593,593,31.119999999999997
594,594,6.98
595,595,0.0
596,596,19.59
597,597,46.38999999999999
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,20.0
603,603,0.0
604,604,176.23000000000002
605,605,22.15
606,606,0.0
607,607,0.0
608,608,0.0
609,609,250.95000000000002
610,610,20.93
611,611,0.0
612,612,0.0
613,613,0.0
614,614,0.0
615,615,0.0
616,616,0.0
617,617,0.0
618,618,45.93
619,619,0.0
620,620,0.0
621,621,0.0
622,622,2.0
623,623,17.16
624,624,194.85
625,625,0.0
626,626,0.0
627,627,0.0
628,628,0.0
629,629,0.0
630,630,0.0
631,631,0.0
632,632,0.0
633,633,0.0
634,634,0.0
635,635,0.0
636,636,0.0
637,637,0.0
638,638,0.0
639,639,0.0
640,640,0.0
641,641,0.0
642,642,0.0
643,643,0.0
644,644,0.0
645,645,14.330000000000002
646,646,0.0
647,647,0.0
648,648,345.67
649,649,0.0
650,650,0.0
651,651,0.0
652,652,0.0
653,653,0.0
654,654,0.0
655,655,5.19
656,656,20.76
657,657,0.0
658,658,0.0
659,659,0.0
