,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.79
26,26,0.0
27,27,0.0
28,28,6.57
29,29,2.8
30,30,6.949999999999999
31,31,0.0
32,32,20.58
33,33,22.58
34,34,54.29
35,35,0.0
36,36,2.69
37,37,0.0
38,38,0.0
39,39,4.6
40,40,0.0
41,41,64.51
42,42,1.0
43,43,63.730000000000004
44,44,57.81
45,45,0.0
46,46,38.43
47,47,0.0
48,48,12.71
49,49,55.95000000000001
50,50,2.8899999999999997
51,51,3.8
52,52,14.49
53,53,0.0
54,54,8.32
55,55,0.0
56,56,3.78
57,57,0.0
58,58,0.0
59,59,22.44
60,60,21.300000000000004
61,61,0.0
62,62,25.82
63,63,0.0
64,64,36.78
65,65,0.0
66,66,17.009999999999998
67,67,31.84
68,68,25.090000000000003
69,69,13.990000000000002
70,70,0.0
71,71,68.22999999999999
72,72,23.21
73,73,0.0
74,74,9.05
75,75,0.0
76,76,6.08
77,77,27.409999999999997
78,78,0.0
79,79,78.43999999999998
80,80,2.0
81,81,25.68
82,82,57.800000000000004
83,83,40.54
84,84,0.0
85,85,0.81
86,86,0.0
87,87,0.0
88,88,0.0
89,89,23.169999999999998
90,90,32.980000000000004
91,91,0.0
92,92,8.41
93,93,40.18
94,94,4.99
95,95,0.53
96,96,47.08
97,97,36.99
98,98,0.0
99,99,23.48
100,100,44.339999999999996
101,101,0.0
102,102,13.12
103,103,23.819999999999997
104,104,0.0
105,105,1.17
106,106,29.37
107,107,48.7
108,108,0.0
109,109,0.0
110,110,9.84
111,111,0.0
112,112,0.0
113,113,18.76
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,5.32
119,119,3.33
120,120,0.0
121,121,0.0
122,122,5.63
123,123,161.68000000000004
124,124,7.78
125,125,10.309999999999999
126,126,52.49
127,127,13.059999999999999
128,128,6.73
129,129,10.45
130,130,33.51
131,131,0.0
132,132,8.35
133,133,0.0
134,134,0.0
135,135,31.360000000000003
136,136,16.799999999999997
137,137,0.0
138,138,8.57
139,139,70.91000000000001
140,140,0.0
141,141,0.0
142,142,13.17
143,143,11.01
144,144,0.0
145,145,0.0
146,146,2.82
147,147,0.0
148,148,0.0
149,149,0.0
150,150,4.59
151,151,0.0
152,152,0.0
153,153,10.549999999999999
154,154,0.0
155,155,9.09
156,156,0.0
157,157,0.0
158,158,0.0
159,159,20.76
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,37.14
165,165,0.0
166,166,6.61
167,167,6.71
168,168,3.48
169,169,34.959999999999994
170,170,151.32
171,171,0.0
172,172,0.0
173,173,0.0
174,174,0.0
175,175,14.469999999999999
176,176,33.36
177,177,11.58
178,178,0.0
179,179,0.0
180,180,0.0
181,181,0.0
182,182,27.53
183,183,0.0
184,184,7.99
185,185,0.0
186,186,43.199999999999996
187,187,10.03
188,188,36.0
189,189,5.99
190,190,10.3
191,191,17.34
192,192,0.0
193,193,0.0
194,194,0.0
195,195,49.53
196,196,0.0
197,197,0.0
198,198,30.22
199,199,0.0
200,200,0.0
201,201,5.24
202,202,0.0
203,203,8.74
204,204,11.39
205,205,0.0
206,206,0.0
207,207,1.8
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,28.119999999999997
213,213,12.69
214,214,0.0
215,215,22.17
216,216,30.0
217,217,11.47
218,218,2.22
219,219,0.0
220,220,3.99
221,221,12.160000000000002
222,222,0.0
223,223,0.0
224,224,0.0
225,225,15.16
226,226,21.89
227,227,15.64
228,228,0.0
229,229,0.0
230,230,10.23
231,231,0.0
232,232,0.0
233,233,51.230000000000004
234,234,0.0
235,235,0.0
236,236,31.240000000000002
237,237,0.0
238,238,10.07
239,239,0.0
240,240,2.5
241,241,0.0
242,242,0.0
243,243,20.439999999999998
244,244,0.0
245,245,7.120000000000001
246,246,1.76
247,247,4.2
248,248,0.0
249,249,0.0
250,250,0.0
251,251,0.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,8.58
256,256,9.54
257,257,0.0
258,258,0.0
259,259,0.0
260,260,0.0
261,261,19.3
262,262,13.07
263,263,0.0
264,264,10.11
265,265,0.0
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.0
271,271,0.0
272,272,0.0
273,273,1.88
274,274,131.35
275,275,17.16
276,276,14.99
277,277,0.0
278,278,0.0
279,279,0.0
280,280,6.03
281,281,0.0
282,282,7.300000000000001
283,283,0.0
284,284,44.36
285,285,0.0
286,286,12.000000000000002
287,287,0.0
288,288,4.49
289,289,3.79
290,290,0.0
291,291,3.61
292,292,24.97
293,293,0.0
294,294,0.0
295,295,0.0
296,296,25.329999999999995
297,297,0.0
298,298,7.380000000000001
299,299,0.0
300,300,8.030000000000001
301,301,0.0
302,302,23.060000000000002
303,303,4.16
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,0.0
309,309,0.0
310,310,0.0
311,311,0.0
312,312,36.82
313,313,0.0
314,314,10.89
315,315,0.0
316,316,0.0
317,317,0.0
318,318,0.0
319,319,19.92
320,320,0.0
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,126.85999999999999
331,331,0.0
332,332,0.0
333,333,0.0
334,334,0.0
335,335,0.0
336,336,22.999999999999996
337,337,0.0
338,338,0.0
339,339,0.0
340,340,42.09
341,341,0.0
342,342,13.86
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.0
348,348,0.0
349,349,21.439999999999998
350,350,1.49
351,351,0.0
352,352,0.0
353,353,57.0
354,354,70.16
355,355,0.0
356,356,0.0
357,357,0.0
358,358,0.0
359,359,21.18
360,360,0.0
361,361,0.0
362,362,10.389999999999999
363,363,22.92
364,364,0.0
365,365,0.0
366,366,1.48
367,367,0.0
368,368,0.0
369,369,12.37
370,370,1.0
371,371,108.96
372,372,0.0
373,373,10.780000000000001
374,374,0.0
375,375,0.0
376,376,0.0
377,377,12.08
378,378,0.0
379,379,0.0
380,380,29.47
381,381,0.0
382,382,0.0
383,383,0.0
384,384,0.0
385,385,2.79
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,0.0
391,391,0.0
392,392,0.0
393,393,11.8
394,394,0.0
395,395,1.88
396,396,0.0
397,397,5.9
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.0
404,404,6.23
405,405,0.88
406,406,0.0
407,407,0.0
408,408,0.0
409,409,0.0
410,410,0.0
411,411,0.0
412,412,91.22000000000001
413,413,0.0
414,414,0.0
415,415,0.0
416,416,0.0
417,417,0.0
418,418,0.0
419,419,4.99
420,420,0.0
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,66.5
428,428,0.0
429,429,0.0
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,0.0
435,435,69.01
436,436,0.0
437,437,40.58
438,438,0.0
439,439,0.0
440,440,0.0
441,441,110.37999999999998
442,442,0.0
443,443,24.75
444,444,62.3
445,445,0.0
446,446,0.0
447,447,11.780000000000001
448,448,13.98
449,449,0.0
450,450,0.0
451,451,0.0
452,452,0.0
453,453,0.0
454,454,22.13
455,455,0.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,45.00000000000001
460,460,14.37
461,461,0.0
462,462,0.0
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,0.0
469,469,0.0
470,470,0.0
471,471,0.0
472,472,0.0
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,0.0
478,478,40.37
479,479,0.0
480,480,0.0
481,481,0.0
482,482,41.3
483,483,0.0
484,484,0.0
485,485,0.0
486,486,21.16
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,0.0
492,492,0.0
493,493,30.0
494,494,4.48
495,495,0.0
496,496,18.8
497,497,143.24999999999997
498,498,0.0
499,499,46.97
500,500,0.0
501,501,0.0
502,502,0.0
503,503,0.0
504,504,0.0
505,505,0.0
506,506,0.0
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,0.0
514,514,0.0
515,515,2.23
516,516,0.0
517,517,0.0
518,518,14.77
519,519,0.0
520,520,11.47
521,521,0.0
522,522,24.130000000000003
523,523,0.0
524,524,2.99
525,525,0.0
526,526,0.0
527,527,0.0
528,528,121.58999999999999
529,529,30.200000000000003
530,530,0.0
531,531,0.0
532,532,0.0
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,0.0
539,539,0.0
540,540,0.0
541,541,0.0
542,542,0.0
543,543,0.0
544,544,59.85
545,545,0.0
546,546,0.0
547,547,1.0
548,548,0.0
549,549,0.0
550,550,14.770000000000001
551,551,8.59
552,552,0.0
553,553,0.0
554,554,0.0
555,555,0.0
556,556,0.33
557,557,0.0
558,558,0.0
559,559,0.0
560,560,20.04
561,561,0.0
562,562,0.0
563,563,4.99
564,564,0.0
565,565,37.24
566,566,0.0
567,567,0.0
568,568,0.0
569,569,10.499999999999998
570,570,0.0
571,571,0.0
572,572,0.0
573,573,0.0
574,574,0.0
575,575,0.0
576,576,0.0
577,577,0.0
578,578,0.0
579,579,70.97000000000001
580,580,0.0
581,581,0.0
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,29.479999999999997
587,587,2.0
588,588,0.0
589,589,0.0
590,590,0.0
591,591,0.0
592,592,19.14
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.0
597,597,26.200000000000003
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,0.0
603,603,0.0
604,604,0.0
605,605,69.94000000000001
606,606,0.0
607,607,0.0
608,608,0.0
609,609,0.0
610,610,8.75
611,611,0.0
612,612,0.25
613,613,0.0
614,614,0.0
615,615,0.0
616,616,45.34
617,617,19.25
618,618,0.0
619,619,0.25
620,620,0.0
621,621,59.18000000000001
622,622,0.0
623,623,0.0
624,624,9.59
625,625,0.0
626,626,49.91000000000001
627,627,0.0
628,628,0.0
629,629,0.0
630,630,0.0
631,631,0.0
632,632,19.53
633,633,0.0
634,634,0.0
635,635,0.0
636,636,0.0
637,637,136.23999999999998
638,638,0.0
639,639,0.0
640,640,68.66000000000001
641,641,10.819999999999999
642,642,6.720000000000001
643,643,0.0
644,644,0.0
645,645,0.0
646,646,0.0
647,647,22.990000000000002
648,648,14.07
649,649,0.0
650,650,12.670000000000002
651,651,0.45
652,652,0.0
