,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,109.69999999999997
59,59,0.0
60,60,0.0
61,61,0.0
62,62,16.74
63,63,0.0
64,64,0.0
65,65,128.6
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,36.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,14.22
87,87,30.41
88,88,30.459999999999994
89,89,0.0
90,90,0.0
91,91,106.44999999999997
92,92,19.119999999999997
93,93,0.0
94,94,5.0
95,95,0.0
96,96,0.0
97,97,2.88
98,98,0.0
99,99,0.0
100,100,26.88
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,26.209999999999997
106,106,0.0
107,107,0.0
108,108,79.19000000000001
109,109,58.94
110,110,135.29000000000002
111,111,0.0
112,112,0.0
113,113,11.26
114,114,0.0
115,115,73.61000000000001
116,116,11.450000000000001
117,117,0.0
118,118,0.0
119,119,52.36
120,120,0.0
121,121,0.0
122,122,69.14999999999999
123,123,0.0
124,124,0.0
125,125,0.0
126,126,17.84
127,127,0.0
128,128,27.45
129,129,0.0
130,130,77.79999999999998
131,131,0.0
132,132,29.09
133,133,37.75
134,134,0.0
135,135,13.24
136,136,47.849999999999994
137,137,109.98999999999998
138,138,0.0
139,139,36.190000000000005
140,140,5.46
141,141,41.39
142,142,13.360000000000001
143,143,0.0
144,144,0.0
145,145,0.0
146,146,35.89000000000001
147,147,0.0
148,148,62.45
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.0
153,153,0.0
154,154,18.26
155,155,8.3
156,156,0.0
157,157,0.0
158,158,41.870000000000005
159,159,0.0
160,160,13.240000000000002
161,161,0.0
162,162,56.050000000000004
163,163,57.81
164,164,0.0
165,165,0.0
166,166,0.0
167,167,0.0
168,168,0.0
169,169,57.62000000000001
170,170,0.0
171,171,0.0
172,172,41.96000000000001
173,173,0.0
174,174,0.0
175,175,0.0
176,176,58.0
177,177,0.0
178,178,0.0
179,179,94.62
180,180,0.0
181,181,0.0
182,182,62.73000000000001
183,183,115.00999999999998
184,184,0.0
185,185,6.99
186,186,23.93
187,187,0.0
188,188,0.0
189,189,4.49
190,190,0.0
191,191,150.32999999999998
192,192,82.56
193,193,0.0
194,194,0.0
195,195,61.18
196,196,24.44
197,197,0.0
198,198,21.28
199,199,4.49
200,200,0.0
201,201,0.0
202,202,32.169999999999995
203,203,0.0
204,204,50.14
205,205,0.0
206,206,19.54
207,207,0.0
208,208,0.0
209,209,5.970000000000001
210,210,23.659999999999997
211,211,0.0
212,212,15.73
213,213,0.0
214,214,20.099999999999998
215,215,94.03000000000003
216,216,0.0
217,217,0.0
218,218,39.5
219,219,0.0
220,220,0.0
221,221,30.86
222,222,123.29
223,223,0.0
224,224,20.82
225,225,0.0
226,226,0.0
227,227,7.07
228,228,0.0
229,229,17.83
230,230,53.379999999999995
231,231,5.0
232,232,0.0
233,233,0.0
234,234,0.0
235,235,39.059999999999995
236,236,0.0
237,237,0.0
238,238,4.49
239,239,0.0
240,240,54.230000000000004
241,241,0.0
242,242,0.0
243,243,108.12999999999998
244,244,0.0
245,245,0.0
246,246,14.39
247,247,0.0
248,248,13.379999999999999
249,249,39.52999999999999
250,250,0.0
251,251,0.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,39.87
256,256,45.68
257,257,0.0
258,258,21.169999999999998
259,259,0.0
260,260,0.0
261,261,39.67
262,262,0.0
263,263,67.46999999999998
264,264,0.0
265,265,0.99
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,5.28
271,271,0.0
272,272,0.0
273,273,9.99
274,274,67.97
275,275,12.72
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,0.0
283,283,24.81
284,284,45.150000000000006
285,285,0.0
286,286,0.0
287,287,0.0
288,288,29.580000000000002
289,289,61.050000000000004
290,290,0.0
291,291,0.0
292,292,0.0
293,293,6.210000000000001
294,294,0.0
295,295,9.879999999999999
296,296,22.869999999999997
297,297,0.0
298,298,12.93
299,299,0.0
300,300,0.0
301,301,0.0
302,302,36.17999999999999
303,303,8.39
304,304,0.0
305,305,0.0
306,306,0.0
307,307,32.449999999999996
308,308,0.0
309,309,61.589999999999996
310,310,10.61
311,311,0.0
312,312,84.97000000000001
313,313,105.11999999999998
314,314,0.0
315,315,53.58
316,316,5.1899999999999995
317,317,0.0
318,318,4.78
319,319,52.9
320,320,0.0
321,321,0.0
322,322,0.0
323,323,10.23
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,15.82
331,331,4.380000000000001
332,332,0.0
333,333,47.72
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,27.869999999999997
341,341,0.0
342,342,4.03
343,343,0.0
344,344,0.0
345,345,19.7
346,346,17.310000000000002
347,347,0.0
348,348,0.0
349,349,12.850000000000001
350,350,26.12
351,351,0.0
352,352,11.81
353,353,0.0
354,354,57.45
355,355,0.0
356,356,54.870000000000005
357,357,0.0
358,358,0.0
359,359,10.87
360,360,0.0
361,361,0.0
362,362,0.0
363,363,0.0
364,364,0.0
365,365,0.0
366,366,0.0
367,367,0.0
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,33.410000000000004
373,373,4.78
374,374,6.02
375,375,37.2
376,376,0.0
377,377,0.0
378,378,21.54
379,379,0.0
380,380,0.0
381,381,0.0
382,382,79.25999999999999
383,383,0.0
384,384,54.97
385,385,0.0
386,386,0.0
387,387,19.27
388,388,0.0
389,389,0.0
390,390,0.0
391,391,32.88
392,392,0.0
393,393,51.57
394,394,27.03
395,395,0.0
396,396,0.0
397,397,0.0
398,398,29.68
399,399,0.0
400,400,0.0
401,401,0.0
402,402,50.0
403,403,30.16
404,404,0.0
405,405,8.51
406,406,0.0
407,407,58.03
408,408,18.340000000000003
409,409,0.0
410,410,0.0
411,411,0.0
412,412,0.0
413,413,0.0
414,414,64.74000000000001
415,415,0.0
416,416,0.0
417,417,36.92000000000001
418,418,0.0
419,419,10.79
420,420,0.0
421,421,0.0
422,422,0.0
423,423,0.0
424,424,13.28
425,425,0.0
426,426,33.97
427,427,0.0
428,428,13.370000000000001
429,429,0.0
430,430,0.0
431,431,0.0
432,432,13.799999999999999
433,433,0.0
434,434,0.0
435,435,23.659999999999997
436,436,0.0
437,437,18.52
438,438,5.82
439,439,0.0
440,440,4.66
441,441,112.86
442,442,0.0
443,443,0.0
444,444,39.580000000000005
445,445,0.0
446,446,3.79
447,447,0.0
448,448,13.73
449,449,0.0
450,450,5.16
451,451,0.0
452,452,0.0
453,453,0.0
454,454,0.0
455,455,0.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,65.12
460,460,36.25
461,461,0.0
462,462,0.0
463,463,7.88
464,464,0.0
465,465,0.0
466,466,0.0
467,467,51.85
468,468,0.0
469,469,0.0
470,470,28.200000000000003
471,471,0.0
472,472,13.750000000000002
473,473,24.689999999999998
474,474,0.0
475,475,0.0
476,476,0.0
477,477,27.330000000000002
478,478,0.0
479,479,0.0
480,480,0.0
481,481,24.65
482,482,0.0
483,483,22.36
484,484,0.0
485,485,0.0
486,486,0.0
487,487,37.64
488,488,0.0
489,489,33.03
490,490,0.0
491,491,15.24
492,492,0.0
493,493,0.0
494,494,0.0
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0
499,499,14.78
500,500,32.43
501,501,0.0
502,502,57.199999999999996
503,503,15.46
504,504,0.0
505,505,12.52
506,506,0.0
507,507,0.0
508,508,40.50000000000001
509,509,0.0
510,510,0.0
511,511,0.0
512,512,16.69
513,513,0.0
514,514,30.880000000000003
515,515,32.75
516,516,0.0
517,517,0.0
518,518,0.0
519,519,81.63000000000001
520,520,90.75999999999999
521,521,0.0
522,522,0.0
523,523,0.0
524,524,0.0
525,525,86.77000000000001
526,526,10.370000000000001
527,527,0.0
528,528,0.0
529,529,0.0
530,530,43.769999999999996
531,531,0.0
532,532,10.48
533,533,6.28
534,534,0.0
535,535,97.25999999999999
536,536,93.82000000000002
537,537,0.0
538,538,0.0
539,539,0.0
540,540,0.0
541,541,11.0
542,542,0.0
543,543,0.0
544,544,0.0
545,545,0.0
546,546,20.52
547,547,3.1799999999999997
548,548,0.0
549,549,11.3
550,550,0.0
551,551,34.1
552,552,0.0
553,553,0.0
554,554,46.29
555,555,0.0
556,556,0.0
557,557,0.0
558,558,0.0
559,559,0.0
560,560,0.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,0.0
565,565,0.0
566,566,0.0
567,567,0.0
568,568,0.0
569,569,0.0
570,570,0.0
571,571,0.0
572,572,0.0
573,573,0.0
574,574,0.0
575,575,0.0
576,576,0.0
577,577,0.0
578,578,0.0
579,579,0.0
580,580,0.0
581,581,0.0
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,0.0
587,587,0.0
588,588,0.0
589,589,0.0
590,590,0.0
591,591,0.0
592,592,0.0
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.0
597,597,0.0
598,598,0.0
599,599,0.0
600,600,0.0
601,601,0.0
602,602,0.0
603,603,0.0
604,604,14.73
605,605,16.990000000000002
606,606,0.0
607,607,103.63999999999997
608,608,0.0
609,609,0.0
610,610,0.0
611,611,0.0
612,612,0.0
613,613,0.0
614,614,0.0
615,615,0.0
616,616,0.0
617,617,0.0
618,618,0.0
619,619,0.0
620,620,38.46
621,621,0.0
622,622,0.0
623,623,0.0
624,624,0.0
625,625,0.0
626,626,0.0
627,627,0.0
628,628,0.0
629,629,0.0
630,630,0.0
631,631,0.0
632,632,0.0
633,633,0.0
634,634,0.0
635,635,0.0
636,636,0.0
637,637,0.0
638,638,0.0
639,639,0.0
640,640,0.0
641,641,0.0
642,642,0.0
643,643,0.0
644,644,0.0
