,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,0.0
95,95,0.0
96,96,0.0
97,97,0.0
98,98,0.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,5.32
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,5.890000000000001
110,110,2.39
111,111,0.0
112,112,0.0
113,113,0.0
114,114,5.67
115,115,0.0
116,116,0.34
117,117,9.120000000000001
118,118,0.0
119,119,0.0
120,120,0.0
121,121,0.0
122,122,0.0
123,123,0.0
124,124,0.0
125,125,0.0
126,126,0.0
127,127,0.0
128,128,1.28
129,129,5.22
130,130,0.0
131,131,0.0
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,0.79
137,137,0.0
138,138,0.0
139,139,0.0
140,140,0.0
141,141,0.0
142,142,0.0
143,143,0.0
144,144,4.28
145,145,0.0
146,146,0.0
147,147,0.0
148,148,0.0
149,149,0.0
150,150,0.0
151,151,0.0
152,152,0.99
153,153,0.0
154,154,0.0
155,155,0.0
156,156,0.0
157,157,0.0
158,158,0.0
159,159,0.0
160,160,0.0
161,161,0.0
162,162,0.0
163,163,0.0
164,164,0.3
165,165,0.0
166,166,0.0
167,167,0.0
168,168,0.0
169,169,0.0
170,170,70.24000000000001
171,171,0.0
172,172,0.0
173,173,0.3
174,174,0.0
175,175,0.0
176,176,0.0
177,177,0.0
178,178,0.0
179,179,0.0
180,180,7.37
181,181,0.0
182,182,0.0
183,183,0.0
184,184,0.0
185,185,0.0
186,186,0.0
187,187,0.0
188,188,0.0
189,189,0.0
190,190,0.0
191,191,0.0
192,192,0.0
193,193,131.79
194,194,40.67000000000001
195,195,0.0
196,196,0.0
197,197,0.0
198,198,0.0
199,199,0.0
200,200,0.0
201,201,16.740000000000002
202,202,0.0
203,203,0.0
204,204,0.0
205,205,0.0
206,206,0.0
207,207,17.0
208,208,11.96
209,209,0.0
210,210,0.0
211,211,19.51
212,212,0.0
213,213,0.0
214,214,0.0
215,215,0.99
216,216,0.0
217,217,0.0
218,218,0.0
219,219,0.0
220,220,0.0
221,221,0.0
222,222,110.2
223,223,0.0
224,224,0.0
225,225,0.0
226,226,0.0
227,227,0.0
228,228,35.03
229,229,0.0
230,230,0.0
231,231,0.0
232,232,20.75
233,233,0.0
234,234,0.0
235,235,42.03
236,236,0.0
237,237,0.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,90.67999999999999
242,242,40.150000000000006
243,243,296.6199999999999
244,244,0.0
245,245,0.0
246,246,23.53
247,247,0.0
248,248,0.0
249,249,0.0
250,250,0.3
251,251,0.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,0.0
256,256,0.67
257,257,206.61
258,258,0.0
259,259,0.0
260,260,0.0
261,261,0.0
262,262,15.05
263,263,40.27
264,264,56.05
265,265,0.0
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,159.00000000000003
271,271,87.33000000000001
272,272,0.0
273,273,0.0
274,274,0.0
275,275,0.0
276,276,3.49
277,277,62.44
278,278,0.0
279,279,6.29
280,280,0.0
281,281,0.0
282,282,0.0
283,283,0.89
284,284,3.69
285,285,18.81
286,286,1.29
287,287,1.0
288,288,0.0
289,289,2.0
290,290,20.01
291,291,48.97000000000001
292,292,0.0
293,293,31.5
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,119.58000000000001
300,300,0.34
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,5.47
306,306,2.3200000000000003
307,307,0.0
308,308,0.0
309,309,0.0
310,310,46.550000000000004
311,311,29.5
312,312,0.0
313,313,0.0
314,314,0.0
315,315,0.99
316,316,0.0
317,317,0.0
318,318,30.5
319,319,17.36
320,320,5.08
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,9.55
332,332,0.0
333,333,41.46
334,334,2.12
335,335,25.5
336,336,98.59
337,337,0.0
338,338,0.0
339,339,0.0
340,340,15.12
341,341,127.86
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.75
347,347,0.0
348,348,0.67
349,349,72.62
350,350,1.22
351,351,22.0
352,352,0.0
353,353,1.0
354,354,7.51
355,355,62.12
356,356,0.0
357,357,0.0
358,358,15.01
359,359,0.0
360,360,0.0
361,361,2.65
362,362,0.0
363,363,0.0
364,364,131.94999999999996
365,365,0.0
366,366,0.0
367,367,23.760000000000005
368,368,0.0
369,369,3.35
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,0.0
375,375,174.17999999999998
376,376,115.49
377,377,145.45
378,378,0.0
379,379,10.0
380,380,0.0
381,381,97.71
382,382,1.59
383,383,3.9699999999999998
384,384,8.99
385,385,0.0
386,386,12.01
387,387,0.0
388,388,65.42
389,389,206.32999999999998
390,390,0.0
391,391,37.51
392,392,5.5
393,393,0.0
394,394,5.28
395,395,0.0
396,396,1.69
397,397,6.79
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,187.16999999999996
404,404,2.0100000000000002
405,405,0.0
406,406,0.0
407,407,0.0
408,408,10.88
409,409,11.96
410,410,0.0
411,411,0.0
412,412,108.67999999999999
413,413,0.0
414,414,0.0
415,415,64.56
416,416,0.0
417,417,0.0
418,418,0.0
419,419,0.0
420,420,19.9
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,186.4000000000001
426,426,0.0
427,427,0.0
428,428,0.0
429,429,45.059999999999995
430,430,102.41
431,431,4.52
432,432,13.299999999999999
433,433,3.9399999999999995
434,434,0.3
435,435,81.19
436,436,110.58999999999997
437,437,46.81
438,438,119.79000000000002
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,13.27
446,446,214.98000000000002
447,447,1.67
448,448,1.55
449,449,0.0
450,450,4.77
451,451,13.850000000000001
452,452,53.02
453,453,0.0
454,454,134.46999999999997
455,455,0.5
456,456,1.0
457,457,94.57000000000002
458,458,7.0
459,459,111.46999999999998
460,460,0.0
461,461,50.64000000000001
462,462,19.17
463,463,17.35
464,464,0.0
465,465,205.13000000000002
466,466,4.08
467,467,23.380000000000003
468,468,234.02999999999994
469,469,40.06
470,470,36.63
471,471,0.0
472,472,13.259999999999998
473,473,33.21
474,474,153.07999999999998
475,475,164.57999999999998
476,476,35.01
477,477,0.0
478,478,32.059999999999995
479,479,27.439999999999998
480,480,7.359999999999999
481,481,0.0
482,482,0.0
483,483,0.0
484,484,24.43
485,485,0.0
486,486,0.0
487,487,177.13000000000005
488,488,11.25
489,489,168.71999999999997
490,490,2.49
491,491,29.88
492,492,1.6
493,493,0.0
494,494,3.49
495,495,22.619999999999997
496,496,7.540000000000001
497,497,122.50999999999999
498,498,5.28
499,499,85.49999999999999
500,500,10.09
501,501,7.73
502,502,66.21
503,503,7.37
504,504,4.27
505,505,132.39
506,506,52.56
507,507,11.290000000000001
508,508,10.45
509,509,69.20000000000002
510,510,137.8
511,511,14.840000000000002
512,512,0.81
513,513,0.0
514,514,73.2
515,515,104.64
516,516,5.98
517,517,3.69
518,518,21.080000000000002
519,519,0.0
520,520,132.06
521,521,0.0
522,522,1.29
523,523,0.0
524,524,7.790000000000001
525,525,0.0
526,526,38.81999999999999
527,527,0.0
528,528,0.0
529,529,206.48000000000005
530,530,0.0
531,531,0.0
532,532,1.0
533,533,1.67
534,534,0.0
535,535,48.55000000000001
536,536,0.0
537,537,3.14
538,538,0.0
539,539,0.0
540,540,0.0
541,541,0.0
542,542,3.27
543,543,23.56
544,544,5.83
545,545,0.0
546,546,0.0
547,547,0.0
548,548,0.0
549,549,0.0
550,550,101.91000000000003
551,551,0.0
552,552,0.0
553,553,0.0
554,554,0.0
555,555,0.0
556,556,0.0
557,557,4.2
558,558,25.279999999999998
559,559,0.0
560,560,0.0
561,561,0.0
562,562,0.0
563,563,0.0
564,564,0.0
565,565,0.0
566,566,5.470000000000001
567,567,0.0
568,568,0.0
569,569,0.0
570,570,0.0
571,571,0.0
572,572,0.0
573,573,0.0
574,574,0.0
575,575,0.0
576,576,0.0
577,577,0.0
578,578,0.0
579,579,0.0
580,580,0.0
581,581,0.0
582,582,0.0
583,583,0.0
584,584,0.0
585,585,0.0
586,586,20.19
587,587,0.0
588,588,0.0
589,589,7.970000000000001
590,590,12.98
591,591,0.0
592,592,50.0
593,593,0.0
594,594,0.0
595,595,0.0
596,596,0.0
597,597,0.0
598,598,0.0
599,599,165.83
600,600,115.35000000000001
601,601,0.0
602,602,0.0
603,603,0.0
604,604,0.0
605,605,0.0
606,606,0.0
607,607,0.0
608,608,130.41
609,609,0.0
610,610,0.0
611,611,6.49
612,612,0.0
613,613,94.13000000000002
614,614,0.0
615,615,13.479999999999999
616,616,0.0
617,617,0.0
618,618,0.0
619,619,0.0
620,620,0.0
621,621,0.0
622,622,0.0
623,623,75.12
624,624,0.0
625,625,2.81
626,626,15.809999999999999
627,627,33.31
628,628,56.82999999999999
629,629,5.59
630,630,3.81
631,631,136.67
632,632,0.0
633,633,3.09
634,634,48.900000000000006
635,635,3.5300000000000002
636,636,3.71
637,637,106.62
638,638,164.91000000000003
639,639,25.75
640,640,55.540000000000006
641,641,12.56
642,642,22.619999999999997
643,643,0.0
644,644,0.0
645,645,186.32000000000002
646,646,0.0
647,647,0.0
648,648,0.0
