,day,value
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,26.419999999999998
75,75,0.0
76,76,0.0
77,77,10.58
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,51.52
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,6.69
89,89,0.0
90,90,0.0
91,91,9.99
92,92,0.0
93,93,0.0
94,94,5.99
95,95,0.0
96,96,0.0
97,97,0.0
98,98,11.24
99,99,0.0
100,100,0.0
101,101,2.66
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,4.28
112,112,0.0
113,113,9.99
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,23.87
119,119,28.83
120,120,0.0
121,121,0.0
122,122,0.0
123,123,0.0
124,124,17.5
125,125,23.950000000000003
126,126,3.42
127,127,18.75
128,128,0.0
129,129,0.0
130,130,21.41
131,131,11.66
132,132,0.0
133,133,0.0
134,134,0.0
135,135,0.0
136,136,1.5
137,137,0.0
138,138,13.15
139,139,0.0
140,140,0.0
141,141,24.060000000000002
142,142,6.0
143,143,9.530000000000001
144,144,0.0
145,145,3.0
146,146,11.770000000000001
147,147,0.0
148,148,4.77
149,149,0.0
150,150,0.0
151,151,4.29
152,152,0.0
153,153,18.220000000000002
154,154,0.0
155,155,0.0
156,156,3.75
157,157,11.98
158,158,7.23
159,159,0.0
160,160,98.37
161,161,0.0
162,162,0.0
163,163,0.0
164,164,0.0
165,165,0.0
166,166,9.99
167,167,0.0
168,168,0.0
169,169,0.0
170,170,0.0
171,171,12.860000000000001
172,172,0.0
173,173,4.37
174,174,0.0
175,175,0.0
176,176,9.99
177,177,0.0
178,178,0.0
179,179,0.0
180,180,0.0
181,181,0.0
182,182,0.0
183,183,0.0
184,184,0.0
185,185,15.44
186,186,0.0
187,187,2.0
188,188,3.0
189,189,0.0
190,190,0.0
191,191,5.24
192,192,0.0
193,193,13.29
194,194,13.81
195,195,2.0
196,196,0.0
197,197,4.0
198,198,5.28
199,199,0.0
200,200,97.35000000000001
201,201,10.85
202,202,0.0
203,203,0.0
204,204,0.0
205,205,0.0
206,206,0.0
207,207,0.0
208,208,0.0
209,209,0.0
210,210,0.0
211,211,0.0
212,212,0.0
213,213,0.0
214,214,11.99
215,215,0.0
216,216,0.0
217,217,0.0
218,218,10.99
219,219,0.0
220,220,0.0
221,221,44.7
222,222,0.0
223,223,0.0
224,224,19.759999999999998
225,225,0.0
226,226,0.0
227,227,6.13
228,228,7.99
229,229,0.0
230,230,0.0
231,231,0.0
232,232,0.0
233,233,23.7
234,234,0.0
235,235,6.17
236,236,11.979999999999999
237,237,5.17
238,238,0.0
239,239,24.449999999999996
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.0
244,244,0.0
245,245,0.0
246,246,0.0
247,247,0.0
248,248,0.0
249,249,10.07
250,250,0.0
251,251,10.99
252,252,3.49
253,253,0.0
254,254,10.0
255,255,6.89
256,256,0.0
257,257,9.35
258,258,13.030000000000001
259,259,8.73
260,260,0.0
261,261,0.0
262,262,0.0
263,263,30.42
264,264,0.0
265,265,0.0
266,266,18.009999999999998
267,267,0.0
268,268,10.74
269,269,0.0
270,270,0.0
271,271,0.0
272,272,3.6100000000000003
273,273,0.0
274,274,27.880000000000003
275,275,0.0
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,10.45
281,281,0.0
282,282,0.0
283,283,0.0
284,284,11.379999999999999
285,285,0.0
286,286,0.0
287,287,0.0
288,288,6.91
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,20.1
294,294,0.0
295,295,0.0
296,296,9.870000000000001
297,297,0.0
298,298,0.0
299,299,44.44000000000001
300,300,7.03
301,301,0.0
302,302,8.84
303,303,8.21
304,304,0.0
305,305,0.0
306,306,9.66
307,307,0.0
308,308,0.0
309,309,26.119999999999997
310,310,0.0
311,311,0.0
312,312,0.0
313,313,5.390000000000001
314,314,0.0
315,315,32.51
316,316,0.0
317,317,0.0
318,318,0.0
319,319,0.0
320,320,42.38
321,321,0.0
322,322,0.0
323,323,6.3100000000000005
324,324,0.0
325,325,18.439999999999998
326,326,0.0
327,327,0.0
328,328,0.0
329,329,3.67
330,330,0.0
331,331,0.0
332,332,0.0
333,333,11.930000000000001
334,334,9.91
335,335,0.0
336,336,18.160000000000004
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,12.0
342,342,7.66
343,343,0.0
344,344,10.56
345,345,0.0
346,346,0.0
347,347,9.41
348,348,8.56
349,349,9.2
350,350,10.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,7.55
355,355,0.0
356,356,23.869999999999997
357,357,0.0
358,358,0.0
359,359,8.66
360,360,0.0
361,361,10.17
362,362,1.29
363,363,13.31
364,364,0.0
365,365,0.0
366,366,0.0
367,367,0.0
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,2.0
373,373,6.91
374,374,0.0
375,375,19.810000000000002
376,376,0.0
377,377,0.0
378,378,11.370000000000001
379,379,0.0
380,380,0.0
381,381,5.49
382,382,0.0
383,383,0.0
384,384,0.0
385,385,0.0
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,83.57
391,391,0.0
392,392,19.119999999999997
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.0
404,404,0.0
405,405,0.0
406,406,0.0
407,407,0.0
408,408,3.67
409,409,0.0
410,410,0.0
411,411,15.57
412,412,0.0
413,413,7.42
414,414,0.0
415,415,12.77
416,416,0.0
417,417,0.0
418,418,6.17
419,419,9.16
420,420,0.0
421,421,0.0
422,422,26.950000000000003
423,423,0.0
424,424,0.0
425,425,4.99
426,426,0.0
427,427,10.89
428,428,0.0
429,429,9.36
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,9.93
435,435,0.0
436,436,0.0
437,437,11.35
438,438,0.0
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,5.57
445,445,0.0
446,446,0.0
447,447,0.0
448,448,0.0
449,449,0.0
450,450,0.0
451,451,0.0
452,452,0.0
453,453,0.0
454,454,0.0
455,455,7.71
456,456,0.0
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,0.0
462,462,0.0
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,0.0
469,469,84.22
470,470,0.0
471,471,0.0
472,472,0.0
473,473,0.0
474,474,0.0
475,475,10.98
476,476,0.0
477,477,0.0
478,478,0.0
479,479,0.0
480,480,0.0
481,481,11.58
482,482,0.0
483,483,0.0
484,484,0.0
485,485,29.320000000000004
486,486,34.4
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,64.62
492,492,0.0
493,493,0.0
494,494,21.689999999999998
495,495,1.38
496,496,35.790000000000006
497,497,0.0
498,498,11.98
499,499,0.0
500,500,0.0
501,501,0.0
502,502,0.0
503,503,0.0
504,504,42.59
505,505,19.64
506,506,0.0
507,507,35.67
508,508,0.0
509,509,41.46
510,510,0.0
511,511,26.46
512,512,0.0
513,513,0.0
514,514,0.0
515,515,0.0
516,516,0.0
517,517,0.0
518,518,36.66
519,519,0.0
520,520,0.0
521,521,19.34
522,522,0.0
523,523,37.120000000000005
524,524,0.0
525,525,75.85
526,526,0.0
527,527,4.98
528,528,0.0
529,529,0.0
530,530,13.81
531,531,7.18
532,532,0.0
533,533,44.51
534,534,0.0
535,535,0.0
536,536,0.0
537,537,45.81000000000001
538,538,0.0
539,539,26.65
540,540,0.0
541,541,0.0
542,542,4.78
543,543,14.959999999999999
544,544,0.0
545,545,0.0
546,546,76.87
547,547,0.0
548,548,0.0
549,549,8.59
550,550,0.0
551,551,25.41
552,552,13.530000000000001
553,553,50.480000000000004
554,554,0.0
555,555,0.0
556,556,0.0
557,557,0.0
558,558,7.129999999999999
559,559,0.0
560,560,39.980000000000004
561,561,0.0
562,562,21.18
563,563,0.0
564,564,0.0
565,565,5.98
566,566,0.0
567,567,0.0
568,568,0.0
569,569,48.89000000000001
570,570,23.66
571,571,5.57
572,572,0.0
573,573,0.0
574,574,0.0
575,575,2.89
576,576,0.0
577,577,67.91
578,578,0.0
579,579,21.21
580,580,0.0
581,581,18.53
582,582,0.0
583,583,21.0
584,584,0.0
585,585,0.0
586,586,107.30000000000005
587,587,0.0
588,588,10.99
589,589,0.0
590,590,0.0
591,591,0.0
592,592,0.0
593,593,32.49
594,594,0.0
595,595,25.29
596,596,0.0
597,597,0.0
598,598,0.0
599,599,13.72
600,600,42.480000000000004
601,601,0.0
602,602,18.96
603,603,0.0
604,604,9.99
605,605,0.0
606,606,0.0
607,607,22.61
608,608,0.0
609,609,33.129999999999995
610,610,13.73
611,611,0.0
612,612,0.0
613,613,15.91
614,614,4.19
615,615,0.0
616,616,0.0
617,617,10.81
618,618,0.0
619,619,0.0
620,620,0.0
621,621,13.850000000000001
622,622,0.0
623,623,18.939999999999998
624,624,22.990000000000002
625,625,12.99
626,626,27.98
627,627,6.99
628,628,34.199999999999996
629,629,9.959999999999999
630,630,29.95
631,631,0.0
632,632,18.55
633,633,0.0
634,634,9.99
635,635,86.95
636,636,2.5
637,637,0.0
638,638,5.18
639,639,0.0
640,640,5.79
641,641,0.0
642,642,35.11
643,643,0.0
644,644,0.0
645,645,0.0
646,646,0.0
647,647,0.0
648,648,0.0
649,649,10.99
650,650,0.0
651,651,0.0
652,652,0.0
653,653,21.82
654,654,0.0
655,655,0.0
656,656,52.8
657,657,0.0
658,658,0.0
659,659,0.0
660,660,0.0
