,household_key,coef,ascending
98,965,[ 0.00000000e+00  1.72415841e-01 -1.51939363e-04],1
99,529,[ 0.00000000e+00  1.08366529e-01 -8.60537411e-05],1
100,687,[ 0.          0.16923175 -0.00024608],1
101,2327,[ 0.          0.19023062 -0.0002605 ],1
102,1549,[ 0.00000000e+00 -1.56036467e-02  1.12019701e-05],1
103,907,[ 0.00000000e+00  4.83196392e-02 -6.04826894e-05],1
104,294,[ 0.00000000e+00  1.13725580e-02 -1.30748737e-05],1
105,1316,[ 0.00000000e+00  1.73152549e-01 -1.63611978e-04],1
106,2116,[ 0.00000000e+00 -1.62693659e-02 -6.72525024e-06],1
107,1652,[ 0.00000000e+00 -1.03517672e-01  1.02078103e-04],1
108,2200,[ 0.         -0.1372424   0.00017692],1
109,401,[0.00000000e+00 1.56767437e-02 2.39123811e-06],1
110,1704,[ 0.          0.10846583 -0.00015628],1
111,1861,[ 0.00000000e+00 -3.94377791e-02  6.99190160e-05],1
112,175,[ 0.         -0.38829236  0.00049767],1
113,1584,[ 0.00000000e+00 -1.41050731e-02  3.75146560e-05],1
114,2185,[ 0.          0.2061338  -0.00031296],1
115,1426,[ 0.         -0.13676059  0.00022737],1
116,1601,[ 0.          0.23809028 -0.00035738],1
117,2263,[ 0.00000000e+00 -5.23859697e-02  7.82702559e-05],1
118,114,[0.00000000e+00 1.45585443e-02 1.64104233e-05],1
119,1026,[ 0.00000000e+00  1.54056428e-01 -1.32907748e-04],1
120,332,[ 0.         -0.06513313  0.00017257],1
121,693,[ 0.         -0.16823785  0.00024137],1
122,999,[ 0.         -0.12358185  0.00017781],1
123,536,[ 0.00000000e+00 -2.68721240e-02  6.14677584e-06],1
124,519,[ 0.00000000e+00  9.01806054e-03 -6.54069650e-05],1
125,650,[ 0.0000000e+00  1.3463250e-02 -4.9269155e-05],1
126,467,[ 0.         -0.11759047  0.00012162],1
127,1917,[ 0.00000000e+00 -1.19881682e-02  1.47284720e-05],1
128,93,[ 0.00000000e+00  3.95554182e-02 -5.39891641e-05],1
129,2205,[ 0.00000000e+00  4.05238818e-02 -4.56839644e-05],1
130,372,[ 0.          0.53278181 -0.00089461],1
131,2008,[ 0.00000000e+00 -1.15321314e-02 -4.77273622e-05],1
132,932,[ 0.         -0.02626431  0.00010583],1
133,789,[0.00000000e+00 2.63242763e-03 1.23415034e-05],1
134,105,[ 0.00000000e+00 -7.52425974e-03 -4.77587819e-05],1
135,340,[ 0.          0.37708408 -0.00067533],1
136,1878,[ 0.         -0.09755296  0.00022966],1
137,796,[ 0.00000000e+00 -8.96088071e-03  4.51474473e-06],1
138,2058,[ 0.00000000e+00 -5.95216903e-02  8.10581678e-05],1
139,1655,[ 0.          0.17488555 -0.00020309],1
140,1138,[ 0.00000000e+00 -4.87746012e-03  2.36372655e-06],1
141,70,[ 0.00000000e+00 -1.78898914e-02  1.16817031e-05],1
142,791,[ 0.         -0.06340658  0.00014793],1
143,1733,[ 0.          0.25272867 -0.0003413 ],1
144,676,[ 0.00000000e+00  7.79770138e-02 -8.47364275e-05],1
145,2448,[ 0.          0.10218708 -0.00018547],1
146,1412,[ 0.00000000e+00  1.71742179e-01 -1.69102241e-04],1
147,947,[ 0.00000000e+00 -1.87306697e-02  2.22260903e-05],1
148,2317,[ 0.00000000e+00  4.56215848e-02 -1.20000009e-05],1
149,427,[ 0.00000000e+00 -4.48774961e-02  7.18797113e-05],1
150,1551,[ 0.00000000e+00 -5.10365430e-02  2.66301153e-05],1
151,437,[ 0.00000000e+00 -5.50140208e-02 -6.15260066e-05],1
152,365,[ 0.          0.13835897 -0.00019665],1
153,2102,[ 0.00000000e+00 -6.50780295e-03  7.15499698e-05],1
154,1689,[ 0.00000000e+00  8.41006266e-02 -5.68454731e-05],1
155,1380,[ 0.00000000e+00  8.97667608e-02 -9.27913663e-05],1
156,1107,[ 0.00000000e+00 -5.38102715e-02  7.31551324e-05],1
157,851,[ 0.00000000e+00 -3.47297738e-02  3.08536121e-05],1
158,1083,[ 0.00000000e+00  3.43267831e-02 -3.27617010e-05],1
159,1432,[ 0.         -0.19280423  0.00027078],1
160,454,[ 0.00000000e+00  6.01473004e-02 -7.74373522e-05],1
161,2247,[ 0.00000000e+00 -5.16957627e-02 -5.99168179e-05],1
162,1467,[ 0.         -0.13632394  0.00015022],1
163,2319,[ 0.          0.12719514 -0.00013609],1
164,451,[ 0.00000000e+00  2.75605899e-02 -3.23363071e-05],1
165,64,[ 0.         -0.49840164  0.00054188],1
166,2104,[ 0.         -0.21291498  0.0002647 ],1
167,1184,[ 0.          0.31909057 -0.00043632],1
168,2257,[0.00000000e+00 1.29106041e-02 2.93809353e-06],1
169,1228,[ 0.00000000e+00  4.32756457e-02 -4.45866531e-05],1
170,2223,[ 0.00000000e+00 -2.89534083e-02  4.17512113e-05],1
171,1284,[ 0.         -0.09125866  0.0001207 ],1
172,1438,[ 0.00000000e+00  6.83303068e-02 -8.07147066e-05],1
173,2478,[ 0.00000000e+00 -1.76355920e-02  2.16624668e-05],1
174,2482,[ 0.         -0.21245362  0.00028466],1
175,1145,[ 0.          0.26998909 -0.00032289],1
176,314,[ 0.          0.25190014 -0.00035628],1
177,1789,[ 0.00000000e+00  7.14619031e-02 -9.27634496e-05],1
178,1852,[0.00000000e+00 3.88851630e-03 2.66256691e-05],1
179,988,[ 0.00000000e+00 -4.29777232e-02 -4.73299948e-05],1
180,223,[ 0.          0.15247934 -0.00022235],1
181,1185,[ 0.         -0.10186951  0.00013895],1
182,2252,[ 0.          0.09907264 -0.0001617 ],1
183,470,[ 0.00000000e+00  2.96429268e-02 -2.88042309e-05],1
184,2471,[ 0.00000000e+00  1.23833965e-02 -1.89245864e-05],1
